symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU5,-2,0,0.25,236764821318,236764821308,1,22245.00,22233.50,$(23.00),06/24/2025 09:36:09,06/24/2025 09:32:07,4min 2sec
MNQU5,-2,0,0.25,236764821342,236764821326,1,22240.75,22223.50,$(34.50),06/24/2025 10:52:06,06/24/2025 10:17:20,34min 45sec
MNQU5,-2,0,0.25,236764821359,236764821353,2,22312.75,22297.50,$(61.00),06/24/2025 23:41:12,06/24/2025 23:39:33,1min 38sec
MNQU5,-2,0,0.25,236764821359,236764821350,1,22312.75,22297.50,$(30.50),06/24/2025 23:41:12,06/24/2025 23:39:33,1min 38sec
MNQU5,-2,0,0.25,236764821369,236764821375,3,22320.50,22296.75,$(142.50),06/25/2025 00:19:01,06/25/2025 00:28:22,9min 20sec
MNQU5,-2,0,0.25,236764821383,236764821389,3,22317.75,22301.75,$(96.00),06/25/2025 00:33:17,06/25/2025 00:59:04,25min 46sec
MNQU5,-2,0,0.25,236764821403,236764821397,3,22352.25,22338.25,$(84.00),06/25/2025 01:11:24,06/25/2025 01:09:02,2min 21sec
MNQU5,-2,0,0.25,236764821403,236764821437,3,22352.25,22371.25,$114.00,06/25/2025 01:11:24,06/25/2025 01:53:15,41min 51sec
MNQU5,-2,0,0.25,236764821495,236764821480,1,22384.00,22376.25,$(15.50),06/25/2025 02:22:51,06/25/2025 02:11:41,11min 10sec
MNQU5,-2,0,0.25,236764821495,236764821445,3,22384.00,22365.00,$(114.00),06/25/2025 02:22:51,06/25/2025 01:57:01,25min 49sec
MNQU5,-2,0,0.25,236764821516,236764821534,1,22414.50,22417.50,$6.00,06/25/2025 10:04:10,06/25/2025 10:35:31,31min 20sec
MNQU5,-2,0,0.25,236764821516,236764821539,2,22414.50,22417.50,$12.00,06/25/2025 10:04:10,06/25/2025 10:35:31,31min 20sec
MNQU5,-2,0,0.25,236764821568,236764821547,5,22406.75,22408.00,$12.50,06/25/2025 11:42:45,06/25/2025 11:21:07,21min 37sec
MNQU5,-2,0,0.25,236764821593,236764821579,4,22431.50,22421.00,$(84.00),06/25/2025 16:27:51,06/25/2025 16:19:18,8min 33sec
MNQU5,-2,0,0.25,236764821598,236764821579,1,22431.50,22421.00,$(21.00),06/25/2025 17:30:24,06/25/2025 16:19:18,1h 11min 6sec
MNQU5,-2,0,0.25,236764821653,236764821606,5,22419.25,22419.50,$2.50,06/26/2025 04:10:11,06/26/2025 03:36:22,33min 49sec
MNQU5,-2,0,0.25,236764821675,236764821669,5,22457.50,22444.75,$(127.50),06/26/2025 09:09:47,06/26/2025 09:08:02,1min 45sec
MNQU5,-2,0,0.25,236764821675,236764821693,5,22457.50,22443.75,$(137.50),06/26/2025 09:09:47,06/26/2025 09:28:26,18min 38sec
MNQU5,-2,0,0.25,236764821737,236764821701,1,22555.25,22561.00,$11.50,06/26/2025 20:06:10,06/26/2025 18:55:54,1h 10min 15sec
MNQU5,-2,0,0.25,236764821745,236764821755,1,22520.75,22509.25,$(23.00),06/26/2025 23:41:39,06/26/2025 23:45:55,4min 16sec
MNQU5,-2,0,0.25,236764821769,236764821763,1,22517.50,22477.25,$(80.50),06/26/2025 23:56:21,06/26/2025 23:52:03,4min 18sec
MNQU5,-2,0,0.25,236764821769,236764821799,1,22517.50,22562.75,$90.50,06/26/2025 23:56:21,06/27/2025 00:45:06,48min 44sec
MNQU5,-2,0,0.25,236764821807,236764821865,1,22574.00,22589.25,$30.50,06/27/2025 00:47:31,06/27/2025 01:27:32,40min 1sec
MNQU5,-2,0,0.25,236764821890,236764821896,1,22710.75,22711.50,$1.50,06/27/2025 16:03:28,06/27/2025 16:09:13,5min 44sec
MNQU5,-2,0,0.25,236764821884,236764821896,1,22712.25,22711.50,$(1.50),06/27/2025 15:58:02,06/27/2025 16:09:13,11min 10sec
MNQU5,-2,0,0.25,236764821906,236764821966,1,22715.75,22730.25,$29.00,06/27/2025 16:10:29,06/27/2025 16:40:00,29min 31sec
MNQU5,-2,0,0.25,236764821974,236764821995,1,22718.00,22787.50,$139.00,06/27/2025 23:31:01,06/28/2025 00:00:45,29min 43sec
